Account,Opportunity,Opportunity ID,Sales Stage,Est. Revenue,Close Dt,Opportunity Owner,Forecast Category,Probability (%),Last Activity,Sub-Vertical,Product,Exec Sponsor,Created On
Meridian Energy,Grid Modernization Security,OP-1001,04 Commit,"$1,250,000.00",9/25/2026,Kevin Dugas,Commit,80,7/28/2026,Power & Utilities,Microsoft Sentinel,Dana Whitfield,1/15/2026
Meridian Energy Corp,OT Threat Monitoring,OP-1002,03 Propose,"$640,000.00",10/30/2026,Kevin Dugas,Upside,60,7/21/2026,Power & Utilities,Defender for OT,Dana Whitfield,2/20/2026
Cascade Power & Light,SOC Modernization,OP-1003,02 Develop,"$480,000.00",11/19/2026,Priya Sharma,Pipeline,35,6/30/2026,Power & Utilities,Microsoft Sentinel,,3/2/2026
Gulfstream Petroleum,Identity Consolidation,OP-1004,03 Propose,"$750,000.00",9/18/2026,Marcus Webb,Upside,55,7/25/2026,Oil & Gas,Entra ID,,2/11/2026
TransCanyon Pipelines,Pipeline SCADA Security,OP-1005,04 Commit,"$2,100,000.00",8/28/2026,Elena Rodriguez,Commit,85,8/1/2026,Pipelines,Defender for OT,Robert Chen,11/10/2025
Bluewater Utilities,Data Governance Rollout,OP-1006,02 Develop,"$310,000.00",12/17/2026,Priya Sharma,Pipeline,30,6/15/2026,Power & Utilities,Purview,Maria Santos,4/1/2026
Ironpeak Oil,Endpoint Refresh,OP-1007,01 Qualify,"$95,000.00",03/04/2026,Marcus Webb,,10,5/20/2026,Oil & Gas,Defender for Endpoint,,1/8/2026
Prairie Wind Cooperative,Wind Farm OT Assessment,OP-1008,Deal Review,"$150,000.00",10/22/2026,Elena Rodriguez,Pipeline,25,7/2/2026,Power & Utilities,Defender for OT,,5/5/2026
Redrock Midstream,Compliance Reporting Automation,OP-1009,02 Develop,"$220,000.00",11/13/2026,Kevin Dugas,Pipeline,30,6/28/2026,Pipelines,Purview,,4/18/2026
Lakeshore Gas,Credential Cleanup,,01 Qualify,"$45,000.00",9/30/2026,Priya Sharma,,15,5/30/2026,Oil & Gas,Entra ID,,5/22/2026
Voltaic Grid Systems,Zero Trust Roadmap,OP-1011,03 Propose,"$560,000.00",10/16/2026,Marcus Webb,Upside,50,7/19/2026,Power & Utilities,Entra ID,Alan Park,1/30/2026
Summit Hydro,Refund Adjustment,OP-1012,05 Closed Won,"($15,000.00)",7/24/2026,Priya Sharma,,100,7/10/2026,Power & Utilities,Microsoft Sentinel,,12/12/2025
Delta Refining,Refinery Network Segmentation,OP-1013,On Hold,"$430,000.00",13/32/2026,Marcus Webb,Pipeline,20,4/15/2026,Oil & Gas,Defender for OT,,2/27/2026
NorthStar Transmission,Substation Security Pilot,OP-1014,02 Develop,"$380,000.00",10/29/2026,Elena Rodriguez,Upside,45,7/23/2026,Power & Utilities,Defender for OT,Susan Ito,3/14/2026
Meridian Energy,Purview Data Map,OP-1015,01 Qualify,"$180,000.00",12/18/2026,Kevin Dugas,Pipeline,20,6/5/2026,Power & Utilities,Purview,Dana Whitfield,5/9/2026
Cascade Power & Light,Field Device Hardening,OP-1016,03 Propose,"$525,000.00",9/24/2026,Priya Sharma,Commit,70,7/29/2026,Power & Utilities,Defender for OT,Wes Grant,1/22/2026
